Section,Key,Value
Summary,sport,boxing
Summary,overall_score,76.2
Summary,total_frames,335
Summary,errors,No pose detected; Right knee alignment could improve; Left knee alignment could improve
Summary,recommendations,Wall sit

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
80,67.0,False,False,Left knee alignment could improve,left_knee:0; right_knee:84; shoulders:98; hips:97; left_elbow:58; right_elbow:65
81,69.7,False,False,Left knee alignment could improve,left_knee:0; right_knee:95; shoulders:97; hips:96; left_elbow:61; right_elbow:69
82,70.0,False,False,Left knee alignment could improve,left_knee:0; right_knee:94; shoulders:98; hips:96; left_elbow:63; right_elbow:69
83,76.9,True,True,Left knee alignment could improve,left_knee:36; right_knee:93; shoulders:93; hips:96; left_elbow:75; right_elbow:69
84,75.8,True,True,Left knee alignment could improve,left_knee:32; right_knee:94; shoulders:90; hips:95; left_elbow:73; right_elbow:70
85,73.1,True,True,Left knee alignment could improve,left_knee:13; right_knee:93; shoulders:94; hips:95; left_elbow:71; right_elbow:73
86,72.6,True,True,Left knee alignment could improve,left_knee:9; right_knee:95; shoulders:97; hips:94; left_elbow:70; right_elbow:71
87,75.7,True,True,Left knee alignment could improve,left_knee:0; right_knee:88; shoulders:95; hips:96; left_elbow:86; right_elbow:89
88,75.3,True,True,Left knee alignment could improve,left_knee:0; right_knee:91; shoulders:95; hips:96; left_elbow:85; right_elbow:84
89,70.8,True,True,Left knee alignment could improve,left_knee:0; right_knee:72; shoulders:91; hips:100; left_elbow:77; right_elbow:84
90,72.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:69; shoulders:98; hips:99; left_elbow:77; right_elbow:90
91,64.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:99; hips:98; left_elbow:88; right_elbow:100
92,60.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:97; hips:95; left_elbow:84; right_elbow:86
93,62.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:99; hips:99; left_elbow:81; right_elbow:93
94,61.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:99; hips:97; left_elbow:81; right_elbow:91
95,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:57; right_knee:1; shoulders:88; hips:94; left_elbow:62; right_elbow:93
96,70.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:63; right_knee:0; shoulders:87; hips:94; left_elbow:88; right_elbow:90
97,66.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:37; right_knee:34; shoulders:87; hips:95; left_elbow:56; right_elbow:92
98,71.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:38; right_knee:36; shoulders:93; hips:95; left_elbow:72; right_elbow:92
99,78.5,True,True,Left knee alignment could improve,left_knee:48; right_knee:96; shoulders:81; hips:90; left_elbow:65; right_elbow:92
100,0.0,False,False,No pose detected,
101,0.0,False,False,No pose detected,
102,0.0,False,False,No pose detected,
103,80.3,True,True,Left knee alignment could improve,left_knee:38; right_knee:73; shoulders:91; hips:99; left_elbow:92; right_elbow:88
104,80.7,True,True,Left knee alignment could improve,left_knee:36; right_knee:72; shoulders:91; hips:99; left_elbow:91; right_elbow:95
105,81.7,True,True,Left knee alignment could improve,left_knee:31; right_knee:81; shoulders:91; hips:100; left_elbow:94; right_elbow:95
106,81.4,True,True,Left knee alignment could improve,left_knee:21; right_knee:86; shoulders:91; hips:99; left_elbow:96; right_elbow:97
107,79.8,True,True,Left knee alignment could improve,left_knee:9; right_knee:89; shoulders:91; hips:98; left_elbow:97; right_elbow:95
108,80.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:36; right_knee:67; shoulders:90; hips:99; left_elbow:92; right_elbow:99
109,75.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:7; right_knee:65; shoulders:90; hips:100; left_elbow:94; right_elbow:97
110,88.5,True,True,Right knee alignment could improve,left_knee:93; right_knee:63; shoulders:90; hips:99; left_elbow:91; right_elbow:94
111,86.9,True,True,Right knee alignment could improve,left_knee:85; right_knee:60; shoulders:89; hips:99; left_elbow:91; right_elbow:98
112,84.8,True,True,Right knee alignment could improve,left_knee:88; right_knee:49; shoulders:89; hips:100; left_elbow:90; right_elbow:93
113,86.6,True,True,Right knee alignment could improve,left_knee:95; right_knee:53; shoulders:89; hips:100; left_elbow:89; right_elbow:93
114,76.1,True,True,Right knee alignment could improve,left_knee:85; right_knee:2; shoulders:88; hips:100; left_elbow:86; right_elbow:95
115,77.5,True,True,Right knee alignment could improve,left_knee:86; right_knee:9; shoulders:89; hips:99; left_elbow:86; right_elbow:96
116,78.0,True,True,Right knee alignment could improve,left_knee:89; right_knee:11; shoulders:90; hips:98; left_elbow:87; right_elbow:94
117,77.8,True,True,Right knee alignment could improve,left_knee:86; right_knee:12; shoulders:90; hips:97; left_elbow:87; right_elbow:95
118,84.5,True,True,Right knee alignment could improve,left_knee:83; right_knee:52; shoulders:91; hips:96; left_elbow:88; right_elbow:98
119,84.4,True,True,Right knee alignment could improve,left_knee:78; right_knee:55; shoulders:92; hips:96; left_elbow:87; right_elbow:99
120,89.1,True,True,,left_knee:91; right_knee:75; shoulders:93; hips:96; left_elbow:86; right_elbow:94
121,89.7,True,True,,left_knee:89; right_knee:81; shoulders:94; hips:95; left_elbow:88; right_elbow:91
122,84.1,True,True,Right knee alignment could improve,left_knee:96; right_knee:48; shoulders:96; hips:95; left_elbow:87; right_elbow:82
123,83.3,True,True,Right knee alignment could improve,left_knee:92; right_knee:42; shoulders:96; hips:95; left_elbow:86; right_elbow:89
124,80.5,True,True,Right knee alignment could improve,left_knee:89; right_knee:23; shoulders:96; hips:96; left_elbow:84; right_elbow:95
125,85.8,True,True,Right knee alignment could improve,left_knee:88; right_knee:68; shoulders:97; hips:95; left_elbow:82; right_elbow:86
126,80.2,True,True,,left_knee:70; right_knee:80; shoulders:96; hips:94; left_elbow:81; right_elbow:60
