Section,Key,Value
Summary,sport,boxing
Summary,overall_score,70.2
Summary,total_frames,360
Summary,errors,Hips not level; Shoulders not level; Left knee alignment could improve; Right knee alignment could improve; No pose detected
Summary,recommendations,Hip bridge; Band pull-apart; Wall sit; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
60,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:34; shoulders:96; hips:94; left_elbow:82; right_elbow:71
61,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:33; shoulders:95; hips:93; left_elbow:82; right_elbow:69
62,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:95; hips:93; left_elbow:82; right_elbow:70
63,65.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:95; hips:93; left_elbow:82; right_elbow:70
64,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:35; shoulders:96; hips:93; left_elbow:82; right_elbow:70
65,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:33; shoulders:96; hips:93; left_elbow:82; right_elbow:69
66,65.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:32; shoulders:95; hips:93; left_elbow:83; right_elbow:70
67,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:32; shoulders:96; hips:93; left_elbow:83; right_elbow:70
68,65.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:31; shoulders:95; hips:93; left_elbow:82; right_elbow:70
69,67.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:43; shoulders:96; hips:93; left_elbow:82; right_elbow:70
70,67.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:43; shoulders:94; hips:93; left_elbow:82; right_elbow:70
71,68.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:51; shoulders:94; hips:93; left_elbow:82; right_elbow:70
72,67.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:42; shoulders:94; hips:93; left_elbow:82; right_elbow:70
73,68.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:46; shoulders:95; hips:94; left_elbow:82; right_elbow:70
74,67.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:42; shoulders:95; hips:94; left_elbow:81; right_elbow:70
75,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:41; shoulders:95; hips:94; left_elbow:81; right_elbow:69
76,66.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:39; shoulders:94; hips:94; left_elbow:81; right_elbow:70
77,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:39; shoulders:95; hips:94; left_elbow:81; right_elbow:71
78,66.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:38; shoulders:94; hips:94; left_elbow:82; right_elbow:70
79,66.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:36; shoulders:94; hips:94; left_elbow:82; right_elbow:71
80,66.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:36; shoulders:94; hips:94; left_elbow:82; right_elbow:70
81,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:94; hips:94; left_elbow:82; right_elbow:70
82,66.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:34; shoulders:94; hips:94; left_elbow:82; right_elbow:74
83,68.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:46; shoulders:95; hips:94; left_elbow:82; right_elbow:73
84,68.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:46; shoulders:95; hips:94; left_elbow:82; right_elbow:72
85,67.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:44; shoulders:95; hips:94; left_elbow:82; right_elbow:70
86,67.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:42; shoulders:97; hips:94; left_elbow:82; right_elbow:70
87,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:39; shoulders:97; hips:94; left_elbow:82; right_elbow:69
88,68.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:46; shoulders:97; hips:94; left_elbow:82; right_elbow:70
89,68.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:45; shoulders:96; hips:94; left_elbow:82; right_elbow:69
90,67.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:44; shoulders:96; hips:94; left_elbow:82; right_elbow:69
91,67.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:42; shoulders:96; hips:94; left_elbow:82; right_elbow:69
92,68.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:47; shoulders:96; hips:94; left_elbow:82; right_elbow:69
93,67.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:43; shoulders:96; hips:94; left_elbow:82; right_elbow:69
94,67.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:40; shoulders:96; hips:94; left_elbow:82; right_elbow:70
