Section,Key,Value
Summary,sport,volleyball
Summary,movement,jump
Summary,overall_score,69.0
Summary,total_frames,96
Summary,errors,Poor left hip extension; Left knee valgus - knee collapsing inward; Limited rotation; No pose detected; Unstable posture; Right knee valgus - knee collapsing inward
Summary,recommendations,Hip bridge; Wall sit; Seated torso twist; Single-leg stance; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
69,67.0,False,False,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:8; shoulders:97; hips:100; ankles:92; left_elbow:87; right_elbow:91
70,65.7,False,False,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:46; right_knee:10; shoulders:97; hips:100; ankles:92; left_elbow:87; right_elbow:91
71,67.0,False,False,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:25; shoulders:97; hips:100; ankles:90; left_elbow:82; right_elbow:86
72,73.1,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:69; shoulders:97; hips:99; ankles:95; left_elbow:82; right_elbow:84
73,76.4,True,True,,left_knee:88; right_knee:77; shoulders:93; hips:99; ankles:98; left_elbow:85; right_elbow:58
74,77.1,True,True,,left_knee:95; right_knee:73; shoulders:94; hips:99; ankles:100; left_elbow:84; right_elbow:58
75,72.8,True,True,,left_knee:82; right_knee:71; shoulders:95; hips:99; ankles:99; left_elbow:59; right_elbow:61
76,76.4,True,True,,left_knee:97; right_knee:74; shoulders:95; hips:99; ankles:98; left_elbow:67; right_elbow:60
77,67.1,False,False,,left_knee:38; right_knee:71; shoulders:95; hips:99; ankles:94; left_elbow:56; right_elbow:62
78,65.1,False,False,,left_knee:24; right_knee:71; shoulders:95; hips:99; ankles:93; left_elbow:56; right_elbow:65
79,64.9,False,False,,left_knee:0; right_knee:83; shoulders:97; hips:98; ankles:87; left_elbow:62; right_elbow:65
80,64.0,False,False,,left_knee:0; right_knee:84; shoulders:98; hips:97; ankles:85; left_elbow:58; right_elbow:65
81,65.8,False,False,,left_knee:0; right_knee:95; shoulders:97; hips:96; ankles:82; left_elbow:61; right_elbow:69
82,65.7,False,False,,left_knee:0; right_knee:94; shoulders:98; hips:96; ankles:81; left_elbow:63; right_elbow:69
83,71.3,True,True,,left_knee:36; right_knee:93; shoulders:93; hips:96; ankles:82; left_elbow:75; right_elbow:69
84,71.0,True,True,,left_knee:32; right_knee:94; shoulders:90; hips:95; ankles:83; left_elbow:73; right_elbow:70
85,77.2,True,True,,left_knee:13; right_knee:93; shoulders:94; hips:95; ankles:83; left_elbow:71; right_elbow:73
86,76.3,True,True,,left_knee:9; right_knee:95; shoulders:97; hips:94; ankles:82; left_elbow:70; right_elbow:71
87,67.4,False,False,Poor left hip extension,left_knee:0; right_knee:88; shoulders:95; hips:96; ankles:82; left_elbow:86; right_elbow:89
88,76.1,True,True,Poor left hip extension,left_knee:0; right_knee:91; shoulders:95; hips:96; ankles:82; left_elbow:85; right_elbow:84
89,70.7,True,True,Right knee valgus - knee collapsing inward,left_knee:0; right_knee:50; shoulders:91; hips:100; ankles:87; left_elbow:77; right_elbow:84
90,63.1,False,False,Right knee valgus - knee collapsing inward; Limited rotation,left_knee:0; right_knee:50; shoulders:98; hips:99; ankles:90; left_elbow:77; right_elbow:90
91,58.8,False,False,Right knee valgus - knee collapsing inward,left_knee:0; right_knee:0; shoulders:99; hips:98; ankles:86; left_elbow:88; right_elbow:100
92,56.1,False,False,Right knee valgus - knee collapsing inward,left_knee:0; right_knee:0; shoulders:97; hips:95; ankles:87; left_elbow:84; right_elbow:86
93,66.7,False,False,Right knee valgus - knee collapsing inward,left_knee:0; right_knee:0; shoulders:99; hips:99; ankles:95; left_elbow:81; right_elbow:93
94,66.6,False,False,Right knee valgus - knee collapsing inward,left_knee:0; right_knee:0; shoulders:99; hips:97; ankles:97; left_elbow:81; right_elbow:91
95,61.7,False,False,Right knee valgus - knee collapsing inward,left_knee:57; right_knee:1; shoulders:88; hips:94; ankles:99; left_elbow:62; right_elbow:93
