Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,335
Summary,overall_score,7.1
Summary,errors,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة; انحراف الركبة للداخل (right) - تجنب انحراف الركبة; لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار

Frame,overall_score,movement,errors
149,68.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
150,70.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
151,78.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
152,76.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
153,83.0,jump_header,
154,77.3,jump_header,
155,74.1,jump_header,
156,75.6,jump_header,
157,74.2,jump_header,
158,74.4,jump_header,
159,70.5,jump_header,
160,67.8,jump_header,
161,61.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
162,66.5,jump_header,
163,79.5,jump_header,
164,81.2,jump_header,
165,85.2,jump_header,
166,79.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
167,75.0,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
168,76.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
169,67.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
170,68.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
171,60.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
172,57.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
173,39.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
174,38.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
175,41.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
176,40.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
177,54.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
178,58.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
179,63.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
180,63.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
181,65.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
182,61.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
183,64.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
184,68.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
185,70.9,jump_header,
186,71.3,jump_header,وضعية غير مستقرة
187,66.0,jump_header,وضعية غير مستقرة
188,61.8,jump_header,وضعية غير مستقرة
189,80.2,jump_header,
190,82.2,jump_header,
191,69.0,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
192,68.1,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
193,66.3,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
194,69.7,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
195,85.3,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
196,75.2,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
197,82.9,jump_header,
198,70.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
199,65.3,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
200,65.4,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
201,65.7,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
202,65.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
203,0.0,jump_header,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
204,69.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
205,75.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
206,86.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
207,85.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
208,88.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
209,81.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
210,78.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
211,75.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
212,79.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
213,82.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
214,85.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
215,84.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
216,83.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
217,84.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
218,70.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
219,70.9,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
220,65.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
221,63.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
222,59.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
223,70.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
224,68.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
225,69.0,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
226,74.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
227,79.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
228,75.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
229,80.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
230,63.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
231,78.3,jump_header,وضعية غير مستقرة
232,62.0,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
233,62.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
234,60.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
235,64.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
236,64.6,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
237,63.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
238,57.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
239,68.4,jump_header,
240,69.1,jump_header,
241,67.9,jump_header,وضعية غير مستقرة
242,68.8,jump_header,وضعية غير مستقرة
243,65.2,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
244,66.1,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
